headline, published_at
"(표) 톱10 코인 및 비트코인 선물 시세…주요 코인 하락세 반전, 비트코인 선물가도 하락",2018-05-31 00:28:00.000000
"5월 암호화폐 시장, 주요 코인 거래량…비트코인 1위, EOS는 4위로 올라서",2018-05-31 00:47:00.000000
"비트베이, 바이낸스에 이어 몰타로 이전…왜?",2018-05-31 00:49:00.000000
(표) 톱5 알트코인 시세 차트 (뉴욕시각 30일 정오),2018-05-31 01:22:00.000000
(표) 와이스 레이팅스의 93개 암호화폐 신용등급 내용 (2018년 5월25일자),2018-05-31 02:02:00.000000
"[뉴욕 코인시황/장중] 초반 오름폭 반납하며 하락 반전…비트코인, 7300선으로 내려서",2018-05-31 03:03:00.000000
"쿠웨이트 은행, 즉각적인 국제 결제 서비스 위해 리플넷 합류",2018-05-31 04:27:00.000000
"[뉴욕 코인시황/마감] 초반 오름폭 반납하며 하락 반전…비트코인, 7300선으로 내려서",2018-05-31 05:24:00.000000
"“비트코인, 100년 후인 2118년엔 사라질 수 있어” – 로버트 실러 예일대 교수",2018-05-31 05:43:00.000000
"[굿모닝 비트코인] 0531 상승폭 반납, 다시 일제히 하락…비트코인 7300달러선",2018-05-31 06:46:00.000000
[코인 국내외 주요일정 – 5월 31일],2018-05-31 10:14:00.000000
"와이스 레이팅스 93개 암호화폐 평가 “이오스, 에이다 ‘Good’, 일렉트로니움, 익스팬스 ‘VERY WEAK'”",2018-05-31 10:57:00.000000
"앞으로 암호화폐 규제, 세제 이슈가 부각될 것 – 한국블록체인산업협회 대법원 판결 논평 내놓아",2018-05-31 11:21:00.000000
"비트고수 스펑키 “좋은 뉴스들 나올 땐 하락장, 나쁜 뉴스들 나오면 상승장 신호”",2018-05-31 12:57:00.000000
[암호화폐 시황 차트 분석 – 5월 31일],2018-05-31 15:29:00.000000
유광열 금융감독원 수석부원장 “블록체인 기술 활용 걸림돌 되는 규제요소 합리적으로 개선해나가야”,2018-05-31 18:00:00.000000
"최종구 금융위원장 “암호화폐, 금융자산 인정 계획 없어”",2018-05-31 19:11:00.000000
(표) 톱10 코인 시세 (뉴욕시간 5월31일 오전 8시 기준),2018-05-31 21:03:00.000000
(표) 톱5 알트코인 시세 차트 (뉴욕시각 오전 8시45분),2018-05-31 21:45:00.000000
"EOS, “메인넷 보안문제 해결, ICO 예정대로 진행”",2018-05-31 21:46:00.000000
비트코인 초기 투자자 로저 버 “이더리움이 올해 1위 암호화폐 될 수도”,2018-05-31 22:16:00.000000
[뉴욕 코인시황/출발] 혼조세로 출발 …비트코인 7517달러,2018-05-31 22:18:00.000000
"中 주석 시진핑, 최초로 블록체인 언급 “중국이 차세대 기술의 중심 돼야”",2018-05-31 22:49:00.000000
"리플 CEO, “비트코인에 의한 시장 지배 곧 끝날 것”",2018-05-31 23:18:00.000000
암호화폐로 러시아 월드컵 보러 갈 수 있다,2018-05-31 23:42:00.000000
"트론, 이더리움에서 자체 블록체인으로 독립 개시",2018-05-31 23:57:00.000000
(표) CME 비트코인 선물 시세 (뉴욕시간 31일 오전 9시51분 기준)…6월물 235달러 오른 7555달러,2018-06-01 00:10:00.000000
"Beats 헤드폰 제조사 ‘몬스터’, 3억달러 규모의 ICO 추진",2018-06-01 00:45:00.000000
비트코인이 여전히 희망적인 네 가지 이유,2018-06-01 01:15:00.000000
"[뉴욕 코인시황/장중] 초반 혼조세에서 상승세로 돌아서…비트코인, 7500선 회복하고 횡보",2018-06-01 01:46:00.000000
"홍콩 재무장관, 현재로선 홍콩 통화당국의 디지털 화폐(CBDC) 발행 계획은 없어",2018-06-01 03:20:00.000000
"[뉴욕 코인시황/마감] 초반 혼조세에서 상승세로 돌아서…비트코인, 7500선 위에서 횡보",2018-06-01 05:24:00.000000
"유명 트레이더 피터 브랜디트, “큰손의 비트코인 시세 조작에 대한 확실한 증거는 없어”",2018-06-01 05:59:00.000000
[굿모닝 비트코인] 0601 다시 온기 도는 암호화폐 시장…비트코인 7500달러선,2018-06-01 06:48:00.000000
[블록톡] 림포 CEO 아다 “운동하면 토큰을 받을 수 있어요”,2018-06-01 10:10:00.000000
코인베이스 이사 “규제 만들기 전 기술 발전 더 지켜봐야”,2018-06-01 10:52:00.000000
"비트렉스, 달러로 암호화폐 거래 시작",2018-06-01 15:21:00.000000
"IMF “중앙은행, 크립토와 경쟁 위해 CBDC 만들어야”",2018-06-01 16:45:00.000000
(표) 톱10 코인 시세 (뉴욕시간 6월1일 오전 8시 기준),2018-06-01 21:03:00.000000
(표) 톱5 알트코인 시세 차트 (뉴욕시각 오전 8시42분),2018-06-01 21:43:00.000000
댄 모어헤드 “비트코인 바로 지금 사야할 때”,2018-06-01 21:55:00.000000
[뉴욕 코인시황/출발] 전반적인 하락세로 출발 …비트코인 7412달러,2018-06-01 22:19:00.000000
"필리핀의 암호화폐 전자지갑, 고객 500만 명 돌파",2018-06-01 22:49:00.000000
"바이낸스, 암호화폐 기반 10억달러 투자 펀드 출범",2018-06-01 23:11:00.000000
"월가 분석가, “바닥 친 비트코인, 곧 반등한다”",2018-06-01 23:13:00.000000
암호화폐 시장 변동에 영향을 미치는 주요 요인들,2018-06-01 23:49:00.000000
(표) CME 비트코인 선물 시세 (뉴욕시간 1일 오전 10시2분 기준)…6월물 130달러 내린 7415달러,2018-06-02 00:19:00.000000
온라인 게임 이용자 암호화폐 결제 빠르게 증가,2018-06-02 00:45:00.000000
"에스토니아 정부, 암호화폐 발행 계획 축소한다",2018-06-02 01:05:00.000000
"[뉴욕 코인시황/장중] 낙폭은 크지 않지만 하락세 견지…비트코인, 7400선 위에서 횡보",2018-06-02 02:12:00.000000
"[뉴욕 코인시황/마감] 낙폭은 크지 않지만 하락세 견지…비트코인, 7400선 위에서 횡보",2018-06-02 05:24:00.000000
"후오비, 키움·뉴마진과 한중펀드 투자…벤처 中진출 도와",2018-06-02 08:31:00.000000
"뉴욕 주 입법부, 암호화폐 태스크 포스 출범 제안",2018-06-02 14:12:00.000000
"암호화폐 거래소 ‘고팍스’, 국제 서비스 시작",2018-06-02 14:14:00.000000
"영국, 유럽에서 비자 카드 결제 실패, 블록체인과 암호화폐에 대한 필요성 대두",2018-06-02 14:48:00.000000
"[코인시황] 주요 암호화폐 10개 중 9개 상승, 에오스 20.3%, 비트코인 캐시 7.22% 급등, 시장 상승 기대감",2018-06-03 08:53:00.000000
"EOS 가격 상승의 원인, EOSIO 1.0 및 5천만 달러 육성 기금 발표",2018-06-03 09:20:00.000000
"日 블록체인 기술, 금융분야 실용화 단계 돌입했다",2018-06-03 09:26:00.000000
"노르웨이 최대 은행, IOTA와 협력해 블록체인 기술 적용법 탐색",2018-06-03 14:10:00.000000
"[굿모닝 비트코인] 0604 비트코인, 완만한 상승세 이어져…7700달러선",2018-06-04 06:47:00.000000
[코인시황]비트코인 캐시 18%↑..상승시그널 ‘컴백’,2018-06-04 06:47:00.000000
[코인 국내외 주요일정 – 6월 4일],2018-06-04 10:17:00.000000
[인터뷰] 메디블록 고우균 CEO “삼성전자 갤럭시S 만들던 손으로 의료 블록체인 구현…개인 데이터 월렛은 의사 중심에서 환자 중심으로 이동 시킬 것”,2018-06-04 10:21:00.000000
[문송합니다] Ep4.5 지갑의 미래인 BIP-47과 라이트닝 지갑 5장,2018-06-04 10:42:00.000000
"아부다비 항만회사, 물류업에 블록체인 첫 도입",2018-06-04 11:02:00.000000
"[PRESS] 지닉스, ‘이더리움클래식 협동조합’과 MOU 체결",2018-06-04 11:08:00.000000
[PRESS] 체인파트너스 118억 시리즈A 투자 유치,2018-06-04 11:29:00.000000
"기프토, 월렛 보유자수 50만명 돌파…3주만의 쾌거",2018-06-04 11:30:00.000000
‘이더리움’ 구글에 1억 번 이상 검색돼,2018-06-04 13:28:00.000000
"공정위, OECD경쟁위 정기회의 참석… 블록체인 기술 보급에 따른 시장 환경 변화·예상되는 경쟁 이슈·대응 방안 논의",2018-06-04 17:32:00.000000
"판테라 캐피탈 CEO “비트코인, 이보다 쌀 순 없다”",2018-06-04 17:49:00.000000
뉴욕주 의회 “가상화폐가 세금에 미치는 영향 연구하는 태스크 포스(TF) 만들 계획”,2018-06-04 18:09:00.000000
(표) 톱 10 코인 시세 (뉴욕시간 6월4일 오전 8시 기준),2018-06-04 21:02:00.000000
"일본, 중노년층 암호화폐 집중 교육 과정 개설",2018-06-04 21:29:00.000000
(표) 톱5 알트코인 시세 차트 (뉴욕시각 오전 8시45분),2018-06-04 21:49:00.000000
[뉴욕 코인시황/출발] 대부분 종목 하락 …비트코인 7531.50달러,2018-06-04 22:17:00.000000
"유럽 주요은행 CEO “블록체인, 5년 안에 금융업계 기반 된다”",2018-06-04 22:22:00.000000
"금융 전문가 “구글, 암호화폐 발행 계획 중인 것 같다”",2018-06-04 23:13:00.000000
"일본 SBI, 암호화폐 거래 서비스 돌입",2018-06-04 23:14:00.000000
(표) CME 비트코인 선물 시세 (뉴욕시간 4일 오전 10시50분 기준)…6월물 45달러 오른 7485달러,2018-06-05 00:07:00.000000
"中 바이두, 에너지 절약 블록체인 ‘슈퍼체인’ 개발",2018-06-05 00:31:00.000000
"존 맥아피, “2020 미 대선 출마” 의사 밝혀",2018-06-05 00:52:00.000000
"애플 창업자 워즈니악, “비트코인이 통일된 전 세계 화폐 됐으면”",2018-06-05 01:19:00.000000
"[뉴욕 코인시황/장중] 하락세 보이며 주말 상승폭 반납…비트코인, 7500선에서 횡보",2018-06-05 01:26:00.000000
"인도네시아 당국, 암호화폐 상품으로 규정…비트코인 선물거래 길 열어줘",2018-06-05 02:11:00.000000
"코인베이스, 일본 암호화폐 거래소 시장 진출 계획",2018-06-05 03:30:00.000000
"[뉴욕 코인시황/마감] 하락세 견지하며 주말 상승폭 반납…비트코인, 7500선에서 횡보",2018-06-05 05:36:00.000000
후오비에 이어 OKEx도 암호화폐 지수 펀드 출시,2018-06-05 05:44:00.000000
[굿모닝 비트코인] 0605 거래량 부진 속 다시 하락…비트코인 선물은 ↑,2018-06-05 06:54:00.000000
[코인 국내외 주요일정 – 6월 5일],2018-06-05 10:21:00.000000
송신 보토스(BOTTOS) 대표 “인공지능(A.I)에 블록체인 솔루션 제공할 것”,2018-06-05 10:36:00.000000
구글 ‘비트코인’ 검색 75% 이상 감소…가격에도 악영향,2018-06-05 11:25:00.000000
"젠캐시(ZEN), 비트코인골드·버지 이어 51%공격 받아",2018-06-05 15:50:00.000000
"[PRESS] 암호화폐 거래소 고팍스, 모바일 기반 플랫폼 강화를 위한 GOPAX 공식 모바일 앱 출시",2018-06-05 18:21:00.000000
(표) 톱 10 코인 시세 (뉴욕시간 6월5일 오전 8시 기준),2018-06-05 21:05:00.000000
"바이낸스 엘라 장, “ICO 버블 붕괴는 업계에 좋은 일”",2018-06-05 21:36:00.000000
(표) 톱5 알트코인 시세 차트 (뉴욕시각 오전 8시42분),2018-06-05 21:43:00.000000
[뉴욕 코인시황/출발] 대부분 하락 …비트코인 7449달러,2018-06-05 22:17:00.000000
"세계 최대 규모 中 이더리움 지갑, 싱가포르로 이전",2018-06-05 22:22:00.000000
"전문가 설문조사, “블록체인 보편화까지 약 6년 걸린다”",2018-06-05 23:00:00.000000
"리플, 미 대학 블록체인 R&D에 5천만달러 지원",2018-06-05 23:14:00.000000
거물 투자자 차노스 “경제 위기일 때 비트코인 사면 안 돼”,2018-06-05 23:20:00.000000
"DHL, 블록체인 금융 플랫폼 TradeIX와 협력",2018-06-05 23:58:00.000000
(표) CME 비트코인 선물 시세 (뉴욕시간 5일 오전 10시59분 기준)…6월물 90달러 내린 7410달러,2018-06-06 00:14:00.000000
“블록체인 헬스케어 혁명”은 이미 진행중,2018-06-06 00:44:00.000000
"비트렉스, 타 암호화폐 거래소와 어떻게 다른가?",2018-06-06 00:47:00.000000
"블록체인 언론 시빌, 가짜 뉴스 걸러내기 나선다",2018-06-06 01:24:00.000000
"[뉴욕 코인시황/장중] 보합권내 혼조세 보여…비트코인, 7500선 아래서 움직여",2018-06-06 02:10:00.000000
"GMO, 7NM칩 장착한 일본의 첫번째 비트코인 채굴기 ‘B2’ 출시",2018-06-06 03:05:00.000000
"(표) 톱10 코인 시세 (뉴욕시간 6월5일 오후 2시7분 기준)…비트코인, 7614달러로 반등",2018-06-06 03:12:00.000000
"[뉴욕 코인시황/마감] 초반 혼조세 벗고 상승세로 돌아서…비트코인, 7600선 회복",2018-06-06 05:51:00.000000
"비트코인, 300번째 부고장 받아 – 99비트코인스닷컴",2018-06-06 06:14:00.000000
"[ICO Talk]블록체인을 메인스트림으로…’오픈(OPEN)’ 플랫폼, 업계 주목",2018-06-06 07:40:00.000000
타이트라 CEO 제임스 황 “5G·Al·IoT·블록체인 기술 한계 없어”,2018-06-06 09:27:00.000000
"리플 CEO, 2019 년까지 수십개의 은행이 그들의 암호화폐 시스템을 사용할 것으로 예측",2018-06-06 10:28:00.000000
"엑스블록시스템즈, 선관위 블록체인 투표 시범사업 선정",2018-06-06 10:32:00.000000
[코인 국내외 주요일정 – 6월 6일],2018-06-06 10:43:00.000000
"세계 최대 암호화폐 거래소 바이낸스(Binance), Esports 플랫폼에 투자",2018-06-06 11:15:00.000000
"중국 중앙 은행, 종이 수표 디지털화를 위한 블록 체인 시스템 개발 중",2018-06-06 14:09:00.000000
나스닥 CEO: 암호화폐는 ‘과대 광고 주기’에 있다.,2018-06-06 14:53:00.000000
"정부, 6월 중 블록체인 산업발전 계획안 내놓을까",2018-06-06 20:09:00.000000
(표) 톱 10 코인 시세 (뉴욕시간 6월6일 오전 8시 기준),2018-06-06 21:02:00.000000
"[블록톡] 가상현실과 블록체인의 만남, 모스랜드(Mossland) 손우람 대표 “결핍 없는 세상을 꿈꾸다”…업계의 어벤져스들 모여",2018-06-06 21:05:00.000000
(표) 톱5 알트코인 시세 차트 (뉴욕시각 오전 8시38분),2018-06-06 21:38:00.000000
"일본 금융당국, 거래소 승인 까다로워지나?",2018-06-06 21:51:00.000000
[뉴욕 코인시황 / 출발] 대부분 종목 상승 …비트코인 7632달러,2018-06-06 22:17:00.000000
"美 증권거래위원회, 암호화폐 부서 신설했다",2018-06-06 22:57:00.000000
"바이낸스, 올해 ‘불태환-암호화폐’ 거래 준비 본격화",2018-06-06 23:19:00.000000
트랜스퍼와이즈 CEO “아직 민간화폐가 암호화폐보다 낫다”,2018-06-06 23:28:00.000000
"비트코인 가격, 세계 최고액 지폐와 비슷해",2018-06-07 00:05:00.000000
(표) CME 비트코인 선물 시세 (뉴욕시간 6일 오전 10시46분 기준)…6월물 15달러 오른 7640달러,2018-06-07 00:10:00.000000
"美 금융 대기업 SIG, 비트코인 거래 본격 돌입",2018-06-07 00:46:00.000000
러시아 농부가 직접 발행한 암호화폐 ‘콜리온(KLN)’,2018-06-07 00:47:00.000000
"남아공 중앙은행, 이더리움 기반 블록체인 결제 시스템 시험 성공적",2018-06-07 01:19:00.000000
"트위치tv BJ, 이제 암호화폐로 수입 올릴 수 있다",2018-06-07 01:20:00.000000
"[뉴욕 코인시황/장중] 초반 오름세에서 혼조세로 반전돼…비트코인, 7600선 위에서 횡보",2018-06-07 02:29:00.000000
피델리티 인베스트먼트도 암호화폐 거래나 투자 사업에 뛰어드나?,2018-06-07 03:58:00.000000
"[뉴욕 코인시황/마감] 등락세 뒤 하락…비트코인, 7500달러로 내려서",2018-06-07 05:40:00.000000
[굿모닝 비트코인] 0607 비트코인 1% 하락서 상승 전환…빠르게 낙폭 회복,2018-06-07 06:48:00.000000
"CFTC, 비트피넥스 및 테더 소환장에 대한 정보공개 요청 거부",2018-06-07 12:01:00.000000
[코인 국내외 주요 일정 – 6월 7일],2018-06-07 14:13:00.000000
"2018 블록체인 코리아 컨퍼런스(2018 BKC), 용산 드래곤 시티 호텔서 성황리 개최",2018-06-07 15:44:00.000000
(표) 톱10 코인 시세 (뉴욕시간 6월7일 오전 8시 기준),2018-06-07 21:03:00.000000
(표) 톱5 알트코인 시세 차트 (뉴욕시각 오전 8시45분),2018-06-07 21:45:00.000000
"美 SEC, “ICO 토큰은 증권, 규제할 것”",2018-06-07 21:57:00.000000
[뉴욕 코인시황/출발] 혼조세로 출발 …비트코인 7713.23달러,2018-06-07 22:21:00.000000
"올해 상반기 도난된 비트코인, 1조 원 훌쩍 넘겼다",2018-06-07 22:43:00.000000
"코인베이스, 최초 블록체인 기반 증권거래 준비 본격화",2018-06-07 23:20:00.000000
"JP모건 회장 “비트코인 투자, 조심해야 할 때”",2018-06-07 23:22:00.000000
펀드스트랫 톰 리 “구글 검색 감소? 비트코인 가격과 관계없다”,2018-06-07 23:41:00.000000
세계 최초 미술품 암호화폐 경매 실시,2018-06-07 23:58:00.000000
(표) CME 비트코인 선물 시세 (뉴욕시간 7일 오전 10시56분 기준)…6월물 165달러 오른 7705달러,2018-06-08 00:11:00.000000
CFTC 커미셔너 “암호화폐는 절대 사라지지 않는다”,2018-06-08 00:28:00.000000
"채굴 공룡 비트메인, IPO하면 기업가치는 얼마나?",2018-06-08 00:49:00.000000
"다국적 글로벌 SW업체인 SAP, 클라우드 블록체인 플랫폼 출시",2018-06-08 01:09:00.000000
"슬로베니아, 비트코인 쇼핑센터 출범한다",2018-06-08 01:28:00.000000
"[뉴욕 코인시황/장중] 대체로 오름세 보여…비트코인, 7700달러 근접",2018-06-08 02:13:00.000000
"베트남, 암호화폐 채굴기 수입 금지안 마련",2018-06-08 03:03:00.000000
뉴욕주 북쪽에 7억달러 규모의 세계 최대 암호화폐 채굴센터 들어서,2018-06-08 05:05:00.000000
"[뉴욕 코인시황/마감] 대부분 오름세 보여…비트코인, 7700달러 근접",2018-06-08 05:40:00.000000
"[굿모닝 비트코인] 0608 비트코인, 불안한 오름세…거래량은 여전히 ‘부진’",2018-06-08 06:48:00.000000
"림포, 한국 상륙… 탈중앙화 거래소 올비트 상장",2018-06-08 09:59:00.000000
"블록체인학회, 학계 의견모아 블록체인 평가 가이드라인 발표",2018-06-08 10:34:00.000000
[코인 국내외 주요 일정 – 6월 8일],2018-06-08 10:40:00.000000
"[ICO Talk]Dav ,6월 11일 ICO 크라우드 세일 론칭",2018-06-08 10:53:00.000000
"[ICO Talk]토큰세일, KYC 실패 없이 인증하기",2018-06-08 11:20:00.000000
"[블록톡] 루프링 CMO, “한국 시장, 패닉할 필요 없다”",2018-06-08 11:28:00.000000
"[ICO Talk]토큰 세일 앞둔 Dav, 프로젝트 개발팀 ‘어벤져스 수준’",2018-06-08 11:47:00.000000
(표) 톱 10 코인 시세 (뉴욕시간 6월8일 오전 8시 기준),2018-06-08 21:02:00.000000
(표) 톱5 알트코인 시세 차트 (뉴욕시각 오전 8시43분),2018-06-08 21:43:00.000000
"데니스 로드맨, 팟코인 후원으로 김정은 따라 싱가포르행?",2018-06-08 21:55:00.000000
[뉴욕 코인시황/출발] 대부분 종목 하락 …비트코인 7564달러,2018-06-08 22:19:00.000000
"톰 리 펀드스트랫 창업자, “암호화폐 거래소, 규제와 친해질수록 이득”",2018-06-08 22:35:00.000000
EOS 버그 찾아 7일만에 상금 12만달러 벌어,2018-06-08 23:01:00.000000
이코노미스트 짐 차노스 “비트코인은 자유주의자의 환상일 뿐”,2018-06-08 23:13:00.000000
"미국 첫 블록체인 투표 실시, 블록체인 선거의 전망은?",2018-06-08 23:53:00.000000
(표) CME 비트코인 선물 시세 (뉴욕시간 8일 오전 11시1분 기준)…6월물 115달러 내린 7590달러,2018-06-09 00:21:00.000000
“암호화페 변동성 러시아 경제에 위험 요인 아냐” – 러 보고서,2018-06-09 00:56:00.000000
"페이탭스 CEO “암호화폐, 앞으로도 없어지지 않는다”",2018-06-09 01:00:00.000000
"파인더 보고서, “비트코인 가격, 연말까지 두 배로 오른다”",2018-06-09 01:29:00.000000
"[뉴욕 코인시황/장중] 오늘은 대부분 하락, 변동폭은 여전히 크지 않아…비트코인, 7600달러선",2018-06-09 02:17:00.000000
"대학들, 암호화폐에 투자하기 시작…’기관 투자자들의 유입의 시작’",2018-06-09 04:47:00.000000
"[뉴욕 코인시황/마감] 대부분 하락, 변동폭은 여전히 좁은 박스권…비트코인, 7600선에서 횡보",2018-06-09 05:10:00.000000
한재선 “카카오 블록체인 플랫폼 주인은 여러 기업”,2018-06-09 07:32:00.000000
"세계 3위 암호화폐 거래소 후오비, HBUS와 함께 미국진출 준비 중",2018-06-09 14:40:00.000000
"마스터카드, 블록체인 기술을 활용한 카드 결제 보안 시스템 특허 출원",2018-06-09 17:06:00.000000
[오피니언] 학계만 분주한 암호화폐 투자자 보호,2018-06-09 17:09:00.000000
"[코인시황]암호화폐 전반적 하락세, 24시간 기준 Top10 중 9개 화폐 하락",2018-06-10 08:48:00.000000
"EOS 메인넷 런칭 투표 “GO”, EOS에 대한 기대감 상승",2018-06-10 08:52:00.000000
"모스크바 거래소, ICO 수행을 위한 인프라 작업 중",2018-06-10 11:12:00.000000
"이탈리아 은행 부 총재, 정부 주도 암호화폐의 가능성 언급 EU 예산 760억 유로 감소 예상",2018-06-10 13:47:00.000000
[블록톡] 퀀트스탬프(QuantStamp)CEO “36시간 안에 ICO 보안 감사 가능…전 세계 유일”,2018-06-10 16:43:00.000000
"[굿모닝 비트코인] 0611, 코인레일 해킹 충격 속 암호화폐 시장 ‘우르르’",2018-06-11 06:39:00.000000
[코인시황]코인레일 해킹 등 대형악재..비트코인 10%급락,2018-06-11 07:41:00.000000
[이 시각 코인] 글로벌 암호화폐 거래량 순위(오전 9시 50분),2018-06-11 09:54:00.000000
[코인 국내외 주요일정 – 5월 11일],2018-06-11 09:58:00.000000
"LG CNS, 조폐공사와 계약 맺고 블록체인 지역화폐 서비스 추진한다",2018-06-11 10:02:00.000000
"은행연합회, 7월부터 블록체인 기술 기반 은행공동 인증서비스 ‘뱅크사인’ 출시",2018-06-11 10:34:00.000000
"[인터뷰] 아이오텍스 공동설립자 체반구오 “사물인터넷 생태계에 블록체인 접목, 토큰경제 구현할 것”",2018-06-11 11:17:00.000000
"딥브레인체인, SinglarityNET과 알고리즘, 서비스 네트워크 협력",2018-06-11 14:14:00.000000
"칼 빼든 FIU, 암호화폐 거래소 ‘자금세탁’ 규제 나선다",2018-06-11 15:43:00.000000
(표) 톱 10 코인 시세 (뉴욕시간 6월11일 오전 8시 기준),2018-06-11 21:03:00.000000
(표) 톱5 알트코인 시세 차트 (뉴욕시각 오전 8시45분),2018-06-11 21:47:00.000000
"톤 베이스, “비트코인 약세장 목표 5천달러”",2018-06-11 21:52:00.000000
[뉴욕 코인시황/출발] 거의 모든 종목 하락 …비트코인 6790달러,2018-06-11 22:12:00.000000
"마윈의 앤트파이낸셜, 블록체인 기술 개발에 거액 투자",2018-06-11 22:46:00.000000
"주요 외신, 코인레일 해킹 시장 영향에 주목",2018-06-11 23:11:00.000000
바이낸스 대표 “비트코인의 흐름은 매년 똑같은 패턴”,2018-06-11 23:14:00.000000
"전체 비트코인 3분의 1, 전자지갑 단 1600개가 보유 중",2018-06-11 23:36:00.000000
"네덜란드 중앙은행 “블록체인, 금융시장에 아직 부족”",2018-06-12 00:08:00.000000
(표) CME 비트코인 선물 시세 (뉴욕시간 11일 오전 11시1분 기준)…6월물 960달러 내린 6695달러,2018-06-12 00:15:00.000000
"여성들, 암호화페 투자 관심 빠르게 높아져",2018-06-12 00:46:00.000000
"[뉴욕 코인시황/장중] 큰 폭의 하락세 견지…비트코인, 6700선 중심으로 등락세 보여",2018-06-12 01:57:00.000000
"美 FDIC 전 의장, 현재의 통화 수단 ‘적절치 않아’…연준, 디지털 화폐 고려해야",2018-06-12 03:15:00.000000
"[ICO Talk] 오픈플랫폼, DANHUA CAPITAL (DHVC) 파트너쉽 체결",2018-06-12 04:53:00.000000
"[뉴욕 코인시황/마감] 하락세 견지…비트코인, 6700선 중심으로 등락세 지속",2018-06-12 05:24:00.000000
시장이 암호화폐 시장의 주말 급락세를 보는 시각,2018-06-12 05:45:00.000000
"[굿모닝 비트코인] 0612, 급락세 ‘일단 진정’…”지난 급락, 코인레일 때문 아냐”",2018-06-12 06:34:00.000000
"[ICO Talk]오픈 플랫폼, 퍼블릭 깃허브와 오픈체인 개발",2018-06-12 06:41:00.000000
[코인 국내외 주요일정 – 5월 12일],2018-06-12 07:37:00.000000
"제 3세대 블록체인 프로젝트 이그드래쉬, 메인넷 개발에 전념",2018-06-12 10:32:00.000000
블록체인 생태계 확장되나… 인큐베이팅 프로그램 참가자 모집 봇물,2018-06-12 10:56:00.000000
"[블록톡] 카이버 네트워크 로이 루 대표 “카이버의 핵심가치는 ‘블록체인 솔루션’ 제공, 한국에서도 다양한 활동할 것”",2018-06-12 14:37:00.000000
"[인터뷰] 컨텐츠박스 CFO 칼빈 장 “블록체인을 통해 중간자 수수료를 제거, 최소화해 소비자의 수익을 최대화할 것”",2018-06-12 15:33:00.000000
"[선택, 이오스 BP] 이오스 BP 실시간 투표율 – 6월 12일 오후 6시",2018-06-12 18:06:00.000000
(표) 톱 10 코인 시세 (뉴욕시간 6월12일 오전 8시 기준),2018-06-12 21:02:00.000000
"코인베이스, “이더리움클래식(ETC) 다음달 상장”",2018-06-12 21:37:00.000000
(표) 톱5 알트코인 시세 차트 (뉴욕시각 오전 8시42분),2018-06-12 21:42:00.000000
[뉴욕 코인시황/출발] 혼조세로 출발 …비트코인 6834.48달러,2018-06-12 22:26:00.000000
"북미회담 ‘비공식 스폰서’ 팟코인, 하루 만에 가격 15% UP",2018-06-12 22:34:00.000000
아이폰-아이패드로 암호화폐 채굴 못 한다,2018-06-12 22:58:00.000000
"케빈 루크, “이더리움, 플랫폼 경쟁에서 이미 승자”",2018-06-12 23:13:00.000000
바이낸스 “금년 내 몰타에서 불태환-암호화폐 거래 개시”,2018-06-12 23:53:00.000000
"초기 투자자 뉴너, “비트코인 가격 5천 달러대로 떨어질 수 있다”",2018-06-13 00:02:00.000000
(표) CME 비트코인 선물 시세 (뉴욕시간 12일 오전 11시3분 기준)…6월물 6750달러로 보합,2018-06-13 00:17:00.000000
"월가 분석가 슬라이머, “비트코인 가격, 7777달러가 전환점”",2018-06-13 00:36:00.000000
"美 3위 은행 웰스파고, 자사 신용카드로 암호화폐 구입 금지시켜",2018-06-13 00:41:00.000000
"블록체인의 51% 공격 주의보, 이제는 빈번한 현실",2018-06-13 01:41:00.000000
"[뉴욕 코인시황/장중] 보합권내 좁은 박스권의 혼조세 보여…비트코인, 6800선 중심으로 등락",2018-06-13 02:21:00.000000
"IMF 총재, 글로벌 경제 전망은 악화돼…암호화폐에 대해서는 낙관적 입장 견지",2018-06-13 03:28:00.000000
"英 금융감독청(FCA), 은행권에 암호화폐 관련 고객들의 감독 강화 요구",2018-06-13 05:12:00.000000
"[뉴욕 코인시황/마감] 후장들어 낙폭 확대하며 하락…비트코인, 6500선으로 내려서",2018-06-13 05:49:00.000000
[문송합니다] Ep.5上 : 비트코인 기본중 기본 거래 6장,2018-06-13 11:46:00.000000
[문송합니다] Ep.5下 : 비트코인 기본중 기본 거래 6장,2018-06-13 11:53:00.000000
"일본 경찰, 코인하이브(Coinhive) 모네로 채굴 소프트웨어 관련 크립토재킹 조사",2018-06-13 13:10:00.000000
"“英 사례 참고, 블록체인 소비자 보호 방안 마련해야”",2018-06-13 14:13:00.000000
"독일정부, 암호화폐는 금융안정성을 위협하지 않는다.",2018-06-13 14:45:00.000000
"트론 창립자, 비트토렌트(BitTorrent) 인수",2018-06-13 15:08:00.000000
"글로벌 IT 거인, 블록체인 서비스 선점 노린다",2018-06-13 15:10:00.000000
"최종구 금융위원장 “정부, 블록체인 서비스개발 적극 지원”",2018-06-13 15:14:00.000000
"바이낸스, 아이콘 메인넷 토큰 스왑 지원",2018-06-13 17:45:00.000000
"[선택, 이오스 BP] 이오스 BP 실시간 투표율 – 6월 13일 오후 6시",2018-06-13 18:27:00.000000
